Designation,Experience,Salary,No. of Publications,No. of Chapters,Amount of consultancy work,Fund Received,Professional Membership
3,34,724800,90,351,1041590,10249776,14
1,2,126422,16,186,276434,1557224,5
2,15,317287,45,592,434407,5519160,4
3,32,717909,106,714,683061,1749909,6
2,16,342312,32,120,1311208,7390568,7
3,34,540396,79,238,2027646,774746,13
1,2,100216,12,196,187196,1179520,9
2,17,632366,25,340,579844,3201754,12
2,21,458892,94,672,1000408,2365261,2
3,37,543776,61,320,699028,9747810,12
2,7,179396,24,343,522511,287469,5
1,3,181524,30,270,235377,2100207,11
2,24,853896,84,216,1601316,9165864,4
3,29,611987,19,705,1543331,5825790,1
2,8,115976,24,300,444328,3344112,12
3,29,690277,29,193,851411,5115948,8
3,25,476208,83,766,529425,4198200,7
3,39,537940,52,624,1213992,9629672,6
3,34,276884,11,623,934331,2911080,10
3,25,372275,25,500,787091,7431591,6
2,13,441421,6,383,746564,1598740,12
2,15,264660,22,330,1307070,2979232,12
1,1,56362,5,85,90804,222469,11
2,24,822732,36,960,1589052,10241616,8
3,31,291854,93,1012,1168834,9327517,2
3,27,431343,18,549,774018,2316231,8
2,21,627606,10,798,1567167,3033933,2
2,10,151510,25,125,695595,4834890,13
2,16,438704,72,752,641880,838504,2
3,25,324925,66,150,1550741,1256750,8
3,35,691588,81,58,1402496,6254815,15
2,17,464117,85,748,466650,7007264,6
2,10,277975,45,320,895775,423760,2
3,28,685822,37,924,1465809,2970268,2
2,23,487301,115,23,1590059,2439771,11
3,27,309177,45,549,1621143,4897701,3
1,4,245612,4,208,785360,3045424,11
2,22,323323,77,671,1917344,5134712,6
1,4,162228,24,48,711496,3068180,6
2,10,352705,10,190,463150,412565,6
2,15,218880,7,22,587692,5269170,5
1,3,60804,24,255,353511,1117047,6
1,5,189500,10,5,679390,2908125,2
3,37,298442,37,481,1876689,5618178,8
3,25,406108,50,208,1062525,2713800,15
2,19,197514,19,570,1831448,1800639,4
3,35,374698,70,81,1198668,5644893,12
1,1,67609,9,63,162828,433587,12
2,24,792960,12,96,2079468,4357056,6
2,17,345805,68,535,1589211,3476559,7
2,24,567576,12,252,1432764,6581328,2
2,21,574528,10,567,772023,7795336,6
1,5,313610,30,40,684640,2938930,2
3,29,617990,38,618,526736,2579289,2
2,21,458346,63,871,1930572,7437181,8
3,34,357906,45,600,1432340,6887391,15
2,11,237149,33,126,1038257,861135,6
3,34,273042,102,1133,1279986,6083200,6
3,37,828713,61,24,1814813,1125342,9
1,5,102360,45,300,356005,447415,1
1,6,330768,6,150,521052,4442850,12
3,30,676690,30,870,1084220,9549690,10
3,34,302588,113,11,806888,9490590,4
2,21,308122,31,388,835443,6191619,10
3,40,742173,40,426,2595840,4997226,5
3,38,254498,25,367,1525446,5049186,6
1,1,52882,3,87,121798,109136,12
2,17,307156,34,119,797155,7061026,7
2,11,111650,55,11,285235,2236663,14
1,1,52663,9,25,116963,276421,14
2,20,695580,80,960,1265990,5173940,13
1,1,47956,1,11,186224,559608,2
2,16,574016,64,400,1457736,6589112,6
2,7,162799,35,28,442323,2595831,6
2,24,408348,12,984,1211868,2854164,3
3,34,763980,68,748,1069674,5538441,1
1,6,429246,18,150,1004124,4501560,7
3,37,694613,61,888,1740048,3857188,2
2,22,500577,11,385,1967383,8658507,4
3,35,512295,81,35,1995198,2722066,10
3,27,522936,72,198,1362249,8903673,12
1,1,69823,1,3,110739,534857,15
2,16,486776,64,344,1164344,852784,15
1,2,80954,6,52,208850,1726632,12
3,30,503070,80,1000,1387640,641280,6
2,10,266375,20,465,980410,793545,9
1,6,130614,48,204,384594,2610558,10
3,30,456770,10,380,1142760,2275480,11
2,19,432915,95,85,639929,2101419,8
2,13,347769,6,344,382915,5427292,3
3,39,794469,26,312,1772381,1239251,11
2,23,406536,92,57,742325,2834957,6
2,22,614724,22,176,1040721,7852196,8
3,38,345711,12,202,1993847,6533707,5
2,21,601524,52,913,1228468,3230692,12
2,19,514548,38,722,511451,8673775,15
2,13,350688,13,513,1005797,5827607,15
3,34,825667,56,430,623843,2024473,1
3,26,573638,43,693,905294,8143321,1
3,40,631973,133,1053,1664386,6848426,11
2,19,489212,85,750,1732610,1522099,7
3,39,613691,52,403,1294215,9981933,8
3,39,745901,117,572,712101,9804184,15
1,2,137816,10,170,150424,1547950,14
3,36,639816,12,828,738360,2017968,13
1,6,237222,36,84,1052460,2004546,9
3,37,532639,111,185,2422488,1485833,11
3,36,630000,72,252,1905516,2766660,4
1,1,23419,7,80,85944,93491,7
2,13,267338,45,552,699705,6322998,8
1,1,72680,5,93,111297,681797,15
2,10,137535,10,360,250305,4986865,6
3,40,820186,80,946,1390640,3131786,9
3,38,323785,88,950,1696104,5664634,9
3,40,337946,93,546,2624320,12889813,8
3,25,480900,25,641,1523966,7950000,9
2,17,493850,59,399,831980,6790930,7
2,11,271711,27,264,763724,2522058,15
2,18,384048,27,297,536130,4600818,8
2,19,586634,19,142,1258360,6755811,8
3,33,359051,22,682,1048773,4444154,7
1,6,408264,12,522,316362,4486626,7
3,40,586600,133,986,1722413,11734160,12
1,6,267558,36,534,893472,4636086,6
1,4,179736,16,56,419320,1333144,8
3,31,265856,72,558,1291480,8711403,8
1,3,62952,6,273,414585,354870,10
1,5,196275,45,465,560965,516550,9
3,31,330274,41,961,1336162,3499931,6
3,35,755393,46,1050,1564348,8817095,7
3,38,887566,76,899,1179963,1641625,13
1,2,110764,14,166,200156,929582,11
1,5,222205,30,180,645260,2114050,10
2,17,357289,25,68,587919,2788790,7
1,3,203292,15,78,328038,759906,5
2,14,227430,14,525,751128,3261517,9
2,9,145399,27,405,772249,3199824,4
2,19,338513,76,836,1028061,4307423,11
1,1,50464,5,74,194133,582936,6
2,21,581878,42,850,982170,9415329,15
3,32,724170,53,341,1610826,8656650,4
2,16,472072,24,48,1478928,3383224,8
2,24,244944,48,852,1243440,4890492,13
3,33,652080,66,649,2175470,4757038,10
2,24,853344,36,1176,699420,5131068,11
1,1,42129,4,73,150973,547721,2
1,3,85533,24,177,519012,2903619,10
3,30,245770,50,730,544410,3489470,6
3,27,575325,36,207,710523,828261,3
2,12,411648,54,90,987270,1697046,5
3,30,607500,90,880,561610,3811510,12
3,35,437196,23,945,1640018,6171130,3
2,13,443040,45,370,486551,891683,14
2,20,237020,30,840,815100,2148150,12
3,25,316850,83,775,1371008,593391,8
2,22,303182,66,814,1739837,8649883,4
2,23,389459,115,1127,733964,4776398,1
2,12,165486,30,474,1155054,4650066,7
2,7,155074,10,210,428127,558481,13
2,13,300475,19,279,888608,5774203,8
3,34,823412,113,11,757486,1323654,11
2,13,248774,58,143,1026363,5324150,7
3,29,334660,77,918,853054,7539893,5
1,2,108846,4,30,230252,395586,4
3,25,218800,75,200,1480875,6618783,11
2,7,170590,17,262,563447,851504,7
3,35,314743,35,1143,2211183,4148398,7
2,23,851540,57,862,1813550,9523265,1
2,18,546210,90,783,1562769,3901077,6
3,27,350739,90,18,1125837,4302891,3
2,10,318330,45,470,775210,3277575,13
1,1,63518,6,43,161151,416111,5
3,33,409475,11,913,809721,8808151,12
1,3,161421,24,273,332502,2462688,3
2,23,536222,80,667,1092776,9072338,1
2,13,370487,32,461,439491,3859024,9
2,17,308686,8,357,1545453,4886981,9
2,16,377912,56,8,1107240,3569896,11
1,6,199344,60,12,1002756,2616900,2
2,9,288193,9,108,561244,930874,10
3,25,320058,75,16,1234166,670616,13
2,9,141057,31,301,488722,2937226,1
3,32,767498,74,938,1436426,9045888,4
2,19,636205,76,66,612702,9295085,11
3,39,957814,52,585,1286051,5528419,6
2,24,843468,48,552,1673244,10359744,4
2,8,201676,8,344,385920,1311928,6
2,15,158527,37,592,504855,891855,1
3,31,627274,93,723,1512355,2744740,10
3,37,690999,12,1159,1661337,3891919,10
1,3,198909,6,45,366912,370368,14
3,27,584514,90,828,1684458,2184444,8
3,28,500640,9,616,1120298,4669942,15
1,6,215130,18,444,645552,5774760,8
3,31,728758,10,475,1223838,10218747,14
1,1,66724,9,35,145002,936776,9
3,39,783354,117,1092,1871363,4279093,9
1,5,368465,20,295,578065,4619075,15
2,14,370272,70,63,446565,5158573,2
1,4,211296,8,244,602460,2633800,3
3,37,758635,12,740,804873,8799167,2
2,13,429494,32,39,467532,2579882,2
3,36,558000,108,192,1180104,6471408,8
3,25,356116,33,408,1662508,2656208,8
1,1,60896,10,1,179979,593464,13
2,21,579946,94,724,1386115,532434,10
1,2,70082,18,192,179070,1483518,11
2,7,190197,35,283,496636,1768000,8
2,8,104376,12,232,209360,3196720,6
1,3,168276,27,201,473955,1825698,7
3,34,561328,11,1042,871386,9752367,11
2,14,319095,35,161,1028265,3682833,12
2,21,628855,73,220,698806,8835750,8
3,27,261783,45,549,1787472,8012655,1
1,1,45038,7,73,87457,786347,5
2,7,231175,21,164,410438,852540,6
2,13,453726,13,546,465783,4199526,7
3,29,218592,67,367,577312,3029746,1
2,23,640757,46,724,1830121,4362548,9
1,3,213003,27,93,555171,2287695,4
2,23,364308,92,494,1227498,2704110,1
3,26,327132,8,814,1371673,651863,4
2,10,350220,50,305,876930,1548740,12
1,3,223656,21,90,466026,1656813,8
2,16,231808,40,752,603960,1461816,9
3,38,372628,126,684,2022132,10929180,8
2,21,575158,84,987,1758372,3513793,7
3,35,360091,81,583,1648675,9532121,9
3,36,418236,48,864,1410084,5242380,2
3,40,282506,66,426,2488760,13247680,11
3,32,287658,96,864,1662421,8484650,7
2,7,145999,28,196,675535,2422343,1
3,35,741720,116,478,712040,10531033,11
1,2,77344,2,114,360436,113832,2
3,38,718820,114,139,2390174,11317527,7
2,10,236495,15,295,936875,3594175,1
2,24,801000,96,888,1684704,2508036,7
2,9,305959,18,22,328338,1324732,3
2,11,401450,5,33,516813,4115133,9
1,1,38524,7,72,108594,470570,9
2,18,212274,45,315,1717677,4505949,2
3,38,713665,88,1203,2437307,8091580,7
1,2,42894,4,170,370914,146598,5
2,8,166168,8,72,428328,2710352,4
2,21,533200,52,430,1560919,8400703,6
2,22,705320,110,792,637758,7472949,12
3,30,282390,30,870,922740,4995860,10
2,22,655270,66,539,949047,3452977,7
3,38,461041,12,494,1863988,7547990,10
2,19,257735,19,142,1253164,8161953,7
2,13,334470,26,19,663032,2443447,11
2,24,493368,48,1152,1488048,9148344,1
3,31,412486,82,496,1267600,2448183,10
2,18,339615,90,792,883872,2149416,9
3,34,300764,68,725,1435604,5821548,9
3,30,536400,40,720,1044900,7717200,5
1,6,335712,30,408,580482,5214570,4
3,38,754414,38,354,995828,1489587,7
2,10,312215,15,410,576355,4694840,4
3,31,599860,72,1023,980395,7489321,4
2,12,402672,42,222,757818,2780178,10
2,15,357202,15,120,402802,6288292,6
1,3,100485,24,138,208224,2177955,3
1,5,222855,40,340,696400,2662760,10
3,26,234268,69,771,1722214,2334592,15
3,36,493248,96,432,2017440,4576188,7
3,28,635329,84,849,1124685,5524932,2
1,4,256720,4,320,293928,2387528,6
3,27,267102,63,369,1289907,5115960,11
2,8,101780,4,64,321532,2675168,11
3,31,211399,82,258,912071,8081080,11
2,10,342785,50,255,507595,2739565,9
1,2,62880,8,48,140390,680256,8
3,36,740496,72,1008,2275296,11268624,1
3,34,636400,90,668,1472347,9309132,4
2,15,273742,22,375,861562,4654777,15
3,35,575423,23,875,1894608,3921318,1
3,30,235780,90,800,1779810,6760840,10
2,13,423520,6,32,1293149,5958764,1
2,20,462940,50,960,611810,516640,7
1,4,135060,4,112,617488,3343672,14
3,32,405632,42,352,959520,1568373,6
1,1,56138,2,67,147608,699716,6
1,5,118665,45,25,679620,3335110,8
3,27,632655,54,801,1372311,7892595,13
2,15,510172,15,300,687892,7098705,10
2,22,242649,88,484,927014,7948545,12
2,16,576096,72,48,779952,6426512,4
3,26,467246,8,294,1404632,1864876,13
3,30,400500,60,790,962600,1234000,5
2,15,410122,67,600,1214017,4407900,8
3,38,703012,76,329,930392,7161999,7
2,18,220131,81,729,1177560,728163,11
2,24,841236,108,792,1467852,4800324,2
3,33,270985,22,924,650650,7172935,9
3,27,194607,9,621,720522,4840056,12
3,38,615587,76,164,1795183,3897723,11
1,5,209250,35,300,505435,4461395,2
3,30,717270,90,610,956100,8934010,11
1,5,104655,25,460,853260,4484065,4
2,23,498479,80,184,1396755,4099359,5
1,2,103354,20,40,118484,1361120,9
2,24,279792,24,72,2225064,2006484,8
3,29,549028,38,773,1431623,7077392,1
1,4,283480,40,196,681740,2740888,7
2,21,430416,21,1029,1914990,5105100,13
3,29,309807,96,580,1552534,3404812,1
2,7,86114,17,31,449659,3476249,10
2,20,346980,50,850,1919250,8631480,6
2,16,258368,80,128,1316296,817056,9
1,4,163044,40,200,727456,3472764,1
3,28,557218,56,718,749018,948528,7
3,37,303326,111,209,1661645,10211297,2
2,15,497242,75,510,612172,7010122,6
2,22,603603,44,693,1950410,6828206,3
3,36,703500,36,1176,1837812,8249640,4
2,13,137325,32,195,1256320,2275045,1
2,8,106680,16,244,744028,2108800,11
2,17,466429,42,127,937125,3113533,6
3,30,596000,90,360,1827170,2849820,12
3,38,314627,38,38,1947398,9103128,6
3,30,608600,50,370,667050,8780380,14
2,9,240322,27,211,372384,1880905,9
3,34,755978,90,1054,2220834,2968494,1
2,17,401939,85,229,1642633,6800008,2
2,22,634084,99,33,2160543,10002487,3
2,20,387960,60,70,1353640,3746600,2
2,11,287276,22,269,989268,2830327,5
2,7,110166,7,220,257505,376250,3
3,29,203367,9,96,1677640,1502180,4
2,10,133705,45,340,431055,437880,5
2,10,298195,5,260,777525,773105,1
3,33,315326,110,1001,1908907,7007495,14
2,15,339322,7,225,421110,3319102,2
3,29,657468,9,599,538452,5929929,10
3,37,408714,86,308,2411117,1000800,1
1,1,60939,1,40,149542,587902,4
2,24,879528,48,840,2026128,8542704,6
1,6,182952,60,72,860442,4458846,15
2,13,412009,45,136,1029665,1218087,3
3,25,299383,41,258,1079533,6283083,8
3,33,778910,44,737,2085226,4033854,1
1,3,124437,15,75,420252,1390329,10
2,14,500773,63,280,645785,4934559,12
3,34,454466,34,804,1320367,4176934,5
2,11,145002,49,77,364512,2445861,5
3,33,531080,110,198,1051270,9888120,15
1,2,100956,16,84,182782,892612,12
2,23,494753,23,276,1616980,7897694,7
2,11,254243,11,165,775912,3414405,11
2,20,481090,20,500,765720,5189280,12
2,11,115038,16,308,592916,2956596,14
3,40,999706,13,120,677906,2697440,10
2,13,278876,39,370,585806,417189,7
2,18,220941,45,180,1216332,4556745,15
3,29,258641,48,444,627763,2110194,8
3,35,483700,116,513,1244320,8937075,5
2,21,601902,31,42,2070589,7873246,4
2,21,491683,105,441,2008230,1709788,6
3,30,327190,90,880,1205060,5874200,11
2,7,84630,14,252,675024,1519969,6
1,2,64138,12,172,335238,1430906,5
3,31,617602,20,754,1135726,10189338,6
3,35,240975,23,210,1604376,2892516,3
3,30,209050,50,920,528580,1768120,14
3,33,304678,88,891,1841950,8869905,5
1,2,75668,12,90,156754,913722,7
2,15,189405,22,652,1203562,1995922,10
3,33,527098,44,396,1072863,4336387,1
3,27,323388,45,315,1799442,3446703,4
2,9,133434,45,418,422392,1252314,12
2,8,296828,8,116,542384,1742372,1
2,10,166415,35,370,690515,1806505,3
2,22,770979,77,605,2069144,6638610,7
3,36,565596,48,372,1871580,11760492,9
3,26,295724,8,754,581724,1132681,9
2,16,519784,56,408,630176,1172288,10
2,8,155808,12,352,746648,634992,5
1,5,160430,50,490,804435,381590,7
2,19,649097,9,275,1258037,2800951,10
2,10,113020,35,410,914755,2862820,9
3,28,607068,46,756,767909,5591366,14
2,14,328328,35,91,497441,673386,12
2,14,489062,70,420,846755,6329596,13
3,36,833952,72,624,1798968,10395228,9
3,33,358842,11,704,1828079,3832466,6
2,22,328009,99,121,2010470,6341522,3
2,20,553750,50,630,1448120,9816920,13
2,24,888264,36,144,1061592,2807664,13
3,37,863025,61,1097,1725519,1769784,9
3,35,552101,11,641,2198280,802876,9
2,18,524340,90,405,1216926,5497515,15
2,18,346725,18,252,1384200,1794600,10
2,14,387044,28,448,721560,1115429,14
3,36,531816,84,924,1108128,10528224,2
1,1,50677,10,4,128765,958971,7
2,24,269964,24,516,1288668,8518536,14
3,29,358111,38,116,610421,5842958,8
2,20,384670,10,940,1375830,6253330,1
3,29,604640,19,570,1085682,5245249,14
2,17,460759,68,119,1591191,5591249,5
1,2,144426,4,52,342698,913352,6
3,28,679438,28,224,1224384,8737092,7
1,1,42777,1,21,79582,730842,8
3,36,415236,12,708,1476624,7302624,9
3,36,372720,48,696,667176,1049904,10
2,23,606855,46,1046,1975780,5704609,8
1,1,53585,3,38,130638,178768,8
1,5,190975,35,125,585165,4185430,12
2,24,477060,72,1056,1140900,2884188,5
1,6,137910,54,156,833538,430932,7
3,36,563808,72,672,854184,3120384,12
3,33,557601,55,968,881617,6444548,14
3,32,642112,42,245,556234,10557237,11
3,30,503240,90,390,1353340,6402620,10
2,15,192712,22,52,565597,3864472,4
2,13,459751,32,617,1032037,6370715,11
2,14,387597,70,693,822458,4415390,12
2,16,405224,32,440,758920,7839824,3
3,28,602457,65,560,1009064,3476069,7
3,35,679501,11,478,2073190,5295698,2
2,19,227287,38,589,660478,8426063,5
3,37,264032,111,715,2359144,5765537,6
2,24,645072,24,108,896544,4954992,10
3,35,726425,93,1015,1267490,6004401,7
3,38,413161,38,772,854214,10741992,4
3,35,377731,23,606,1442910,4863460,2
3,38,370449,38,506,1955974,5834089,14
2,17,636522,42,382,720451,5854893,14
3,28,254426,18,466,982408,1578313,6
3,37,747054,74,308,2384687,8832615,13
2,22,422642,55,1100,618123,8671597,10
2,13,207707,65,266,1126508,3205195,1
2,21,610270,105,283,1865934,8051956,13
2,23,256852,57,770,1311195,8321526,8
3,37,524573,86,801,1777973,8183364,13
2,11,348722,44,374,875204,3863986,13
2,13,462813,65,390,899964,4799450,1
3,37,841922,86,690,1285935,5036797,8
1,1,47629,1,78,188996,831395,5
2,7,200011,17,315,538401,3477971,12
2,11,291637,33,440,355025,4160233,10
3,37,395863,86,703,1054845,3109319,11
3,33,344377,88,484,1181246,1470634,8
2,24,673584,72,468,770232,11459124,2
3,37,305052,111,1184,1540556,8104739,6
2,14,306992,70,140,953491,4169116,11
3,33,422477,77,924,1921139,2368674,7
2,20,563590,30,380,613650,9910360,5
2,13,462956,39,630,1142258,4844827,12
3,33,423775,88,264,1957252,3726151,5
3,37,350698,98,814,695587,3418306,15
3,28,339957,84,476,780920,3582432,5
3,36,482736,48,1176,2273028,2450280,7
2,12,316140,30,30,432972,5696076,8
2,24,366300,48,312,1124880,1848180,8
2,17,495108,25,331,1072334,6061239,9
3,40,757120,120,960,1747720,8228226,8
2,10,336020,40,135,909930,986485,13
2,16,578472,48,528,990816,2234680,7
3,37,781057,49,308,859423,1734091,14
3,39,278551,52,767,2213211,8616543,9
3,28,557256,46,886,1642984,3325532,2
3,37,757168,86,86,1518036,11462760,9
3,30,216780,40,300,1362510,3307160,8
3,39,675831,91,871,2468687,9279673,1
1,1,54947,6,59,92476,693159,11
3,28,534716,65,186,908450,2524442,7
3,35,563803,70,875,1247131,2334185,2
3,32,273770,10,490,756960,5547680,3
2,9,270004,45,45,881338,670176,6
2,18,528282,9,297,686376,5265099,10
1,6,172284,30,258,696828,1865472,5
1,3,76575,9,165,235074,1573704,13
3,27,661878,81,198,624771,8801307,4
2,19,621423,28,551,1737711,8353207,15
3,37,701039,123,727,2312167,6652538,14
3,31,282916,72,785,1010589,2121805,9
2,14,476539,49,700,412335,3604524,7
3,36,828660,24,1056,1697340,6225168,10
3,37,694847,111,752,1396515,1427682,12
1,4,83544,24,240,212232,262660,8
3,36,746208,108,612,2251920,11563308,7
3,37,879625,86,900,1350611,4462138,1
1,1,27279,5,90,166360,415301,8
3,34,284296,79,306,1528028,9378537,7
2,16,180880,72,192,1090504,1750440,9
3,26,524454,8,433,1412640,6973815,13
1,5,162340,35,355,403230,2955250,6
2,12,424776,42,156,984174,4191468,5
1,4,244840,40,312,690212,2312832,10
2,12,132144,54,432,1133514,5248494,12
3,32,775530,106,874,1472362,5905856,4
3,28,658429,74,196,1369134,1331428,7
2,15,199755,30,547,1146555,2267977,15
1,6,403098,18,84,1015596,1767864,14
2,10,136475,30,465,284385,4963285,2
1,6,304362,60,234,512040,5069580,13
1,6,192222,60,204,875874,4474284,1
1,5,347855,30,355,756130,3932855,2
3,36,800136,60,1080,990408,3588156,8
2,20,452610,40,770,1533460,4883240,1
3,31,691155,51,651,1582880,6527163,14
2,22,509454,77,715,1238116,5207103,1
2,23,485909,69,138,1711039,6023838,10
2,9,324000,22,27,897637,999067,8
1,3,194595,3,183,222219,2668215,13
3,38,346547,38,405,1737220,4320954,13
1,1,63728,3,76,180659,515908,15
1,6,371154,24,312,566814,3049710,1
2,14,358512,14,315,1381877,2496949,6
1,4,103528,16,176,325292,1631956,6
1,5,216230,5,470,689720,475715,5
2,8,232196,40,264,433656,3860936,2
3,25,422850,50,425,1154266,2644433,11
2,8,236380,8,244,342680,845412,3
3,39,615056,117,754,1306474,6038357,2
3,32,360661,96,501,1495114,9506026,14
2,13,359885,39,19,549159,4319484,11
1,6,405792,54,576,739350,2706408,14
2,15,324030,7,750,1261897,1321080,6
3,25,441141,66,783,438750,4780433,6
3,33,301213,33,363,963842,7638565,1
2,10,199425,20,75,265145,3981185,2
3,28,689472,28,485,482337,5544466,2
1,2,46474,18,58,188144,1872036,5
2,19,340195,66,703,1734605,1240776,9
3,26,538364,69,78,631505,6238769,15
3,32,282848,96,128,877493,4088309,12
3,34,251067,11,340,1003306,5924352,13
3,38,697287,101,506,2071380,10289817,9
2,18,592596,54,648,1446732,5986143,8
1,5,163365,10,265,338605,1118250,10
3,35,435656,35,1026,1593771,3903480,5
3,33,662288,66,902,1151183,5364502,1
2,13,242658,26,637,581418,4291046,12
2,13,357155,65,539,896168,2286726,11
2,23,812590,80,862,2165185,1076894,12
2,11,279213,16,165,792522,4944494,9
1,2,72762,16,24,323456,470370,1
2,21,293527,63,378,2039121,9272130,15
2,23,761208,57,230,878128,10472440,2
3,36,858696,84,480,1409184,657480,15
3,31,390403,103,124,1482874,2440392,14
3,27,352944,36,63,1695501,1799064,6
2,11,329945,33,385,810452,5283982,12
3,27,392031,54,252,909639,7471386,12
3,34,500740,68,657,924913,9742994,2
2,12,191940,48,480,303858,334242,14
2,22,642367,66,187,1874906,4340644,5
1,4,219440,16,380,662784,1230560,12
3,32,485109,85,490,1888010,9792928,3
3,33,756514,110,825,1733292,3868062,13
3,32,734144,106,1045,1931168,9952640,2
2,20,309250,90,230,1203350,9402000,4
1,1,25622,1,25,72490,462037,3
1,2,50458,8,152,135124,609808,4
3,36,283416,60,972,1107384,1641084,1
2,21,766143,31,483,693598,7143832,7
3,39,480584,26,845,1155089,10800673,8
3,27,498708,81,45,1471860,3043908,8
2,20,714120,20,930,1754420,7899470,6
1,6,161868,36,438,611964,907458,8
2,18,444483,54,666,1556559,955827,6
2,24,513444,108,996,2007036,5153040,1
2,17,508886,51,221,425459,7514909,11
3,37,382197,86,234,1791120,9387541,10
2,11,354816,11,484,811657,1517142,3
2,10,310640,20,415,928350,3322280,2
2,20,742340,30,660,1404320,4225530,6
3,40,905400,106,1040,2322333,10919653,14
3,27,425925,63,846,511317,850896,1
3,33,822591,55,22,669658,2372832,14
3,29,699393,96,280,1093889,4243956,4
1,1,38168,4,75,150908,807741,10
1,2,51570,4,16,227636,1847020,13
1,1,71296,5,54,158471,209675,13
3,30,499600,20,930,1227540,3512360,2
2,12,373050,60,456,465378,1276326,4
2,24,470484,60,312,2355192,7228884,11
2,19,704244,9,608,899013,3500968,3
2,19,525578,76,703,728726,7492327,13
2,9,143536,40,4,672583,3465058,9
3,39,513461,117,585,2378649,9478781,13
3,31,582490,72,950,1001641,5958789,1
3,32,490314,96,917,2131232,7187754,13
3,25,455725,50,633,1164991,4526433,3
2,19,612037,9,703,1371287,7369596,6
3,37,816590,24,863,1412635,3214671,3
3,31,285344,62,950,1240444,1361551,8
3,26,557058,69,208,1360190,1885355,14
2,22,507661,11,154,1860254,9604650,6
1,2,132856,10,122,359168,317004,7
3,26,267089,8,121,1249291,4078862,12
3,39,720655,130,299,1252342,12266657,1
2,11,357714,5,434,507177,2786635,9
2,24,470352,60,516,1008252,10626492,1
3,34,583791,90,668,709784,10277576,9
1,6,233478,36,300,1031718,4536414,2
2,8,144184,32,148,787160,1672604,8
2,7,94699,14,101,493188,2720553,15
3,27,553545,27,567,1511856,8573634,12
2,10,211800,20,210,762575,1286800,11
3,36,811992,24,1044,1193868,2686452,11
2,22,239613,88,352,1816771,6518853,6
2,15,329970,37,532,1167592,5127037,9
2,14,359604,42,469,1101247,1346163,13
2,14,315434,49,420,777364,3603572,9
3,35,301245,105,151,2040045,8042510,14
3,37,586215,86,493,2378828,6519178,3
1,2,79356,2,122,394424,223480,7
3,29,306791,19,551,1311496,4870057,4
1,4,230368,36,296,771244,705644,9
3,35,514966,58,443,675430,9745645,7
2,11,262003,16,308,872140,2309912,8
3,29,373481,67,309,1588301,5413111,9
2,7,117946,10,7,640948,2319149,11
1,1,67027,8,37,66151,824764,8
1,5,159655,15,80,489605,3703210,11
3,28,305209,93,140,1154066,3818397,5
2,8,230508,12,152,604468,2145432,1
2,10,240865,40,275,307125,4068225,6
3,34,677200,68,623,879716,4370575,12
1,3,184563,6,234,505476,1286586,11
3,27,457524,54,90,1710009,7833240,5
2,20,233340,40,50,1695850,2671060,2
2,20,426170,40,800,1092900,5514370,13
3,25,401108,41,800,1010241,4652083,15
1,6,321594,36,390,1077216,5462202,10
3,29,278052,96,647,1841819,8131619,8
2,22,536140,22,77,877767,10162240,7
3,35,699008,116,875,1224020,3779731,3
3,31,282678,10,651,936344,4136991,6
3,30,393440,80,450,1172890,6195250,6
3,31,303159,20,217,1128906,8344332,12
3,30,660240,90,970,1526110,2186720,1
2,9,324364,13,58,610776,956506,7
2,14,285817,14,182,837396,2474836,13
2,15,381217,7,150,1345920,6880065,15
2,7,109599,28,119,525287,1893087,13
3,32,266506,85,842,1484234,2475264,3
2,17,297857,25,850,1257787,2670640,7
2,23,699499,69,460,1799221,10320847,11
1,5,305635,20,65,993285,4735510,4
2,12,382476,42,84,485358,992352,12
2,17,582114,42,688,1661248,3420519,11
2,15,166965,52,75,1304107,4577962,7
2,24,423792,72,636,1614516,10998528,3
2,24,501012,24,960,1736040,2193804,14
2,10,239835,35,495,938495,3947770,11
1,2,65176,16,98,203470,1162562,13
2,9,232326,13,423,710037,1608223,1
3,31,758869,62,599,1351589,5155124,12
2,11,281138,55,27,422829,5141455,8
3,39,355537,13,1040,2550158,11822486,2
3,34,367041,56,68,1157246,1623001,6
1,2,61016,12,62,239504,425798,15
3,40,853680,133,933,2368560,12757946,9
1,4,238436,20,372,316352,3619576,2
3,36,334980,120,204,998076,7630416,2
2,7,150430,10,203,330872,2788369,1
2,20,479800,80,750,571940,9338630,2
2,15,498930,67,735,431160,999690,8
1,6,283008,30,528,556008,3193746,15
2,12,215214,18,120,534474,1440252,9
2,11,125587,38,33,962406,5316960,2
3,30,460070,90,250,751470,7182890,10
3,32,660042,64,64,1508341,7079616,11
3,25,446616,41,125,1229125,7001675,5
2,14,395913,14,42,1100183,5499746,4
2,13,367503,45,461,979270,5063636,10
3,34,697283,11,510,694495,6581833,5
3,30,309170,20,320,824810,1524370,1
2,7,216027,31,322,183743,760907,14
2,22,794200,66,693,763378,7705610,8
1,6,249192,24,210,662538,912126,12
2,16,427696,48,56,1205120,1334600,13
3,28,635002,18,242,841624,3211618,9
1,1,47896,10,30,75307,545712,7
1,2,129812,12,108,234844,1721866,10
2,8,292808,32,144,258420,2616736,8
1,5,257725,5,210,451320,1914500,2
1,3,157347,18,114,175617,2265717,10
2,7,179368,21,217,324558,3186722,11
